['Device', 'tps', 'kB_read/s', 'kB_wrtn/s', 'kB_read', 'kB_wrtn'],P.Read,Power const.,P.Write,P.Idle,%idle,Idle const,Total Power
sda,107,7168,32964,7168,32964,9031.7,1.26,41534.6,589.4,49.12,0.6,50566.3
sda,71,6272,16484,6272,16484,7902.7,1.26,20769.8,625.8,52.15,0.6,28672.6
sda,62,2944,32812,2944,32812,3709.4,1.26,41343.1,695.6,57.97,0.6,45052.6
sda,87,5120,32916,5120,32916,6451.2,1.26,41474.2,647.5,53.96,0.6,47925.4
sda,70,5888,16512,5888,16512,7418.9,1.26,20805.1,642.5,53.54,0.6,28224
sda,71,3840,32872,3840,32872,4838.4,1.26,41418.7,691.7,57.64,0.6,46257.1
sda,76,3456,32892,3456,32892,4354.6,1.26,41443.9,727.8,60.65,0.6,45798.5
sda,73,6272,16528,6272,16528,7902.7,1.26,20825.3,706.6,58.88,0.6,28728
sda,65,3200,32820,3200,32820,4032,1.26,41353.2,696.0,58,0.6,45385.2
sda,90,5888,32940,5888,32940,7418.9,1.26,41504.4,763.7,63.64,0.6,48923.3
sda,112,9856,26816,9856,26816,12418.6,1.26,33788.2,718.8,59.9,0.6,46206.7
sda,60,4608,22660,4608,22660,5806.1,1.26,28551.6,668.3,55.69,0.6,34357.7
sda,66,4224,32912,4224,32912,5322.2,1.26,41469.1,703.1,58.59,0.6,46791.4
sda,69,6400,24916,6400,24916,8064,1.26,31394.2,750.0,62.5,0.6,39458.2
sda,82,6400,29456,6400,29456,8064,1.26,37114.6,790.8,65.9,0.6,45178.6
sda,56,3840,39672,3840,39672,4838.4,1.26,49986.7,802.0,66.83,0.6,54825.1
sda,68,5632,33360,5632,33360,7096.3,1.26,42033.6,787.1,65.59,0.6,49129.9
sda,63,4992,21420,4992,21420,6289.9,1.26,26989.2,664.3,55.36,0.6,33279.1
sda,55,4864,32832,4864,32832,6128.6,1.26,41368.3,785.8,65.48,0.6,47497
sda,50,4224,33856,4224,33856,5322.2,1.26,42658.6,786.8,65.57,0.6,47980.8
sda,68,5504,24752,5504,24752,6935,1.26,31187.5,679.3,56.61,0.6,38122.6
sda,49,4736,24640,4736,24640,5967.4,1.26,31046.4,677.5,56.46,0.6,37013.8
sda,48,3840,34880,3840,34880,4838.4,1.26,43948.8,732.5,61.04,0.6,48787.2
sda,63,5248,27428,5248,27428,6612.5,1.26,34559.3,738.7,61.56,0.6,41171.8
sda,40,3968,21952,3968,21952,4999.7,1.26,27659.5,669.0,55.75,0.6,32659.2
sda,46,3840,36912,3840,36912,4838.4,1.26,46509.1,707.3,58.94,0.6,51347.5
sda,71,5760,24772,5760,24772,7257.6,1.26,31212.7,735.7,61.31,0.6,38470.3
sda,50,4608,24640,4608,24640,5806.1,1.26,31046.4,783.1,65.26,0.6,36852.5
sda,45,3328,38864,3328,38864,4193.3,1.26,48968.6,751.9,62.66,0.6,53161.9
sda,75,7296,18736,7296,18736,9193,1.26,23607.4,683.5,56.96,0.6,32800.3
sda,43,4224,32832,4224,32832,5322.2,1.26,41368.3,746.2,62.18,0.6,46690.6
sda,39,3840,35532,3840,35532,4838.4,1.26,44770.3,770.5,64.21,0.6,49608.7
sda,74,5376,30320,5376,30320,6773.8,1.26,38203.2,644.3,53.69,0.6,44977
sda,15,1024,49176,1024,49176,1290.2,1.26,61961.8,597.0,49.75,0.6,63252
sda,34,3712,32836,3712,32836,4677.1,1.26,41373.4,584.9,48.74,0.6,46050.5
sda,48,5120,36912,5120,36912,6451.2,1.26,46509.1,772.7,64.39,0.6,52960.3
sda,56,4352,28964,4352,28964,5483.5,1.26,36494.6,761.4,63.45,0.6,41978.2
sda,24,2432,49180,2432,49180,3064.3,1.26,61966.8,592.4,49.37,0.6,65031.1
sda,27,2560,49184,2560,49184,3225.6,1.26,61971.8,748.1,62.34,0.6,65197.4
sda,43,4736,32960,4736,32960,5967.4,1.26,41529.6,701.3,58.44,0.6,47497
sda,40,3712,32936,3712,32936,4677.1,1.26,41499.4,763.7,63.64,0.6,46176.5
sda,46,3968,41068,3968,41068,4999.7,1.26,51745.7,757.6,63.13,0.6,56745.4
sda,24,2432,40992,2432,40992,3064.3,1.26,51649.9,723.7,60.31,0.6,54714.2
sda,45,4864,41284,4864,41284,6128.6,1.26,52017.8,709.1,59.09,0.6,58146.5
sda,24,2304,41004,2304,41004,2903,1.26,51665,673.0,56.08,0.6,54568.1
sda,54,4352,32980,4352,32980,5483.5,1.26,41554.8,668.4,55.7,0.6,47038.3
sda,32,3328,40996,3328,40996,4193.3,1.26,51655,594.0,49.5,0.6,55848.2
sda,48,5248,33344,5248,33344,6612.5,1.26,42013.4,618.2,51.52,0.6,48625.9
sda,18,1408,49168,1408,49168,1774.1,1.26,61951.7,726.6,60.55,0.6,63725.8
sda,58,5376,32944,5376,32944,6773.8,1.26,41509.4,724.2,60.35,0.6,48283.2
sda,29,3072,41016,3072,41016,3870.7,1.26,51680.2,750.7,62.56,0.6,55550.9
sda,46,4992,33852,4992,33852,6289.9,1.26,42653.5,660.6,55.05,0.6,48943.4
sda,27,2816,40980,2816,40980,3548.2,1.26,51634.8,636.4,53.03,0.6,55183
sda,52,4864,24748,4864,24748,6128.6,1.26,31182.5,724.8,60.4,0.6,37311.1
sda,29,2688,49176,2688,49176,3386.9,1.26,61961.8,687.5,57.29,0.6,65348.6
sda,29,2944,40992,2944,40992,3709.4,1.26,51649.9,670.1,55.84,0.6,55359.4
sda,52,5888,34880,5888,34880,7418.9,1.26,43948.8,741.2,61.77,0.6,51367.7
sda,19,1664,40976,1664,40976,2096.6,1.26,51629.8,631.7,52.64,0.6,53726.4
sda,58,5504,24760,5504,24760,6935,1.26,31197.6,586.6,48.88,0.6,38132.6
sda,23,1920,40996,1920,40996,2419.2,1.26,51655,593.9,49.49,0.6,54074.2
sda,26,2560,32788,2560,32788,3225.6,1.26,41312.9,671.8,55.98,0.6,44538.5
sda,43,4736,20544,4736,20544,5967.4,1.26,25885.4,741.7,61.81,0.6,31852.8
sda,23,1792,49180,1792,49180,2257.9,1.26,61966.8,682.2,56.85,0.6,64224.7
sda,58,5504,24744,5504,24744,6935,1.26,31177.4,688.3,57.36,0.6,38112.5
sda,17,1280,40996,1280,40996,1612.8,1.26,51655,589.4,49.12,0.6,53267.8
sda,24,2432,32788,2432,32788,3064.3,1.26,41312.9,588.0,49,0.6,44377.2
sda,42,4736,32832,4736,32832,5967.4,1.26,41368.3,715.2,59.6,0.6,47335.7
sda,30,3072,41008,3072,41008,3870.7,1.26,51670.1,616.6,51.38,0.6,55540.8
sda,60,5504,32932,5504,32932,6935,1.26,41494.3,615.1,51.26,0.6,48429.4
sda,39,3840,49184,3840,49184,4838.4,1.26,61971.8,637.6,53.13,0.6,66810.2
sda,29,2688,32800,2688,32800,3386.9,1.26,41328,662.3,55.19,0.6,44714.9
sda,48,5376,32816,5376,32816,6773.8,1.26,41348.2,631.6,52.63,0.6,48121.9
sda,54,4736,32940,4736,32940,5967.4,1.26,41504.4,635.2,52.93,0.6,47471.8
sda,36,2816,52512,2816,52512,3548.2,1.26,66165.1,854.5,71.21,0.6,69713.3
sda,33,2176,54024,2176,54024,2741.8,1.26,68070.2,650.8,54.23,0.6,70812
sda,39,3456,40992,3456,40992,4354.6,1.26,51649.9,670.1,55.84,0.6,56004.5
sda,15,0,49152,0,49152,0,1.26,61931.5,858.5,71.54,0.6,61931.5
sda,56,5888,31424,5888,31424,7418.9,1.26,39594.2,665.0,55.42,0.6,47013.1
sda,34,2176,50640,2176,50640,2741.8,1.26,63806.4,633.1,52.76,0.6,66548.2
sda,18,256,49164,256,49164,322.6,1.26,61946.6,830.5,69.21,0.6,62269.2
sda,71,6528,34308,6528,34308,8225.3,1.26,43228.1,741.0,61.75,0.6,51453.4
sda,24,2048,49852,2048,49852,2580.5,1.26,62813.5,819.1,68.26,0.6,65394
sda,24,2048,47168,2048,47168,2580.5,1.26,59431.7,808.1,67.34,0.6,62012.2
sda,19,1280,57344,1280,57344,1612.8,1.26,72253.4,586.4,48.87,0.6,73866.2
sda,62,6784,32960,6784,32960,8547.8,1.26,41529.6,780.7,65.06,0.6,50077.4
sda,31,2816,59376,2816,59376,3548.2,1.26,74813.8,750.4,62.53,0.6,78361.9
