	Iozone: Performance Test of File I/O
	        Version $Revision: 3.420 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa.

	Run began: Fri Nov 17 01:10:23 2017

	Auto Mode
	Command line used: iozone -a
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
          131072    1024 1762739 2560543  5760356  4000994 5364790 3239062 5240770  4484478  5806841  2381268  2136112 6235264  6196679
          131072    2048 1719922 2765360  4413943  4268893 4048698 3017588 3959270  3424207  4145070  2072909  2246617 4147072  4371127
          131072    4096 1665231 2333024  4045064  4037103 4093070 2764636 4005745  2936591  3352930  1896953  1887095 3798865  3829828
          131072    8192 1626906 2189784  3093802  3962295 3957360 2683033 3970680  2788645  3911883  1955627  1709738 3918799  3903523
          131072   16384 1633175 2264272  3841845  3813886 3868147 2683701 3974756  2657522  3821017  2051367  2112432 3975475  3955567
          262144      64 1516649 3309431  6416915  6464566 6198733 3559087 6323436  5776238  6288248  3169819  3152705 6063367  6282356
          262144     128 1579361 3256405  6320964  4853160 6059056 3544310 6424001  5540753  4657944  3136892  3056781 6375392  6485156
          262144     256 1807218 3226817  5630240  6272571 6128560 3373233 6034183  5122995  6187745  3000287  2963357 6343611  6329989
          262144     512 1808601 2973776  6138483  6240353 5832061 3349138 6268852  5122613  5401258  2647461  2464384 6146994  6210322
          262144    1024 1641949 2871426  4083126  3621629 5404923 3220834 6210603  3850021  5717189  2491320  1830780 6208254  5121110
          262144    2048 1568909 2287647  3360131  4340632 3273809 2446399 4853695  1647152  4360635  1813355  1500435 4011691  4189464
          262144    4096 1640244 2510381  4238789  4011311 4020052 2718603 4218267  2949746  4066274  2016428  1992580 4145880  4050873
          262144    8192 1540301 2562356  3613239  3815565 3898579 2660337 3836601  2792156  3937447  1965214  1965878 3935671  3921717
          262144   16384 1355920 2525547  3865058  3902633 3851883 2682273 3716452  2779810  4022022  2066662  2056484 3870541  3875233
          524288      64  282872  292194  5250172  6435277 6173618  281039 6324506  5608196  6123795   278033   136658 6271459  5770536
          524288     128  147559  296404  5932406  6380919 6224258  221498 5925293  5756276  6225510   283281   166137 6284399  6260674
          524288     256   62957  287167  6177972  6213794 6147987  241997 6108876  5265887  6165552   285733   100342 6195796  5508729
          524288     512  111094  255316  6019925  6217466 6208916  238772 6200181  4949758  5967728   279796   123013 6135174  6194784
          524288    1024  157865  273085  5845359  6037676 5909068  248531 5672588  4791821  6012057   277178   123278 5995355  6045976
          524288    2048  128686  276745  5128213  4525579 3817418  217243 3255637  2051213  3666836   301626   133407 4429640  4631972
          524288    4096   74281  283214  4146442  3450764 3966050  242667 3620978  2974869  4190548   228751   277740 3777100  3651644
          524288    8192  217671  171852  3937396  3946667 3887096  248799 3909737  2784247  3924663   312648   135691 3951433  3877925
          524288   16384   72828  299568  3849737  3700198 3858661  289144 3949708  2725878  3937008   339513   356553 3926807  4043899

iozone test complete.
