25.13,0.00,0.00,0.50,0.00,74.37,
25.00,0.00,0.00,0.25,0.00,74.75,
17.54,0.00,1.75,6.02,0.00,74.69,
8.04,0.00,1.51,22.36,0.00,68.09,
10.50,0.00,5.75,22.75,0.00,61.00,
3.47,0.00,0.84,50.42,0.00,45.27,
10.83,0.00,4.03,60.20,0.00,24.94,
15.18,0.00,6.28,56.28,0.00,22.25,
0.51,0.00,0.77,73.26,0.00,25.45,
1.33,0.00,0.80,54.79,0.00,43.09,
0.00,0.00,0.00,58.08,0.00,41.92,
0.25,0.00,0.25,74.56,0.00,24.94,
1.77,0.00,0.76,73.23,0.00,24.24,
11.78,0.00,5.76,42.15,0.00,40.31,
0.26,0.00,0.00,70.45,0.00,29.29,
0.25,0.00,0.50,49.50,0.00,49.75,
1.40,0.00,0.47,56.43,0.00,41.71,
8.06,0.00,2.02,66.25,0.00,23.68,
10.54,0.00,4.11,66.58,0.00,18.77,
0.50,0.00,1.01,49.12,0.00,49.37,
7.16,0.00,4.24,51.72,0.00,36.87,
0.00,0.00,0.25,94.49,0.00,5.26,
0.00,0.00,0.00,95.21,0.00,4.79,
11.95,0.00,4.16,72.21,0.00,11.69,
2.09,0.00,0.52,59.01,0.00,38.38,
4.27,0.00,1.01,33.17,0.00,61.56,
1.26,0.00,0.50,70.78,0.00,27.46,
8.97,0.00,2.64,75.20,0.00,13.19,
0.25,0.00,0.25,99.50,0.00,0.00,
7.59,0.00,3.14,89.27,0.00,0.00,
0.80,0.00,0.27,98.93,0.00,0.00,
0.25,0.00,0.00,94.50,0.00,5.25,
0.00,0.00,0.25,92.46,0.00,7.29,
8.14,0.00,2.54,82.44,0.00,6.87,
0.00,0.00,0.00,64.59,0.00,35.41,
0.25,0.00,0.50,49.75,0.00,49.50,
4.18,0.00,1.95,67.97,0.00,25.91,
1.02,0.00,0.76,84.99,0.00,13.23,
3.28,0.00,1.13,74.28,0.00,21.31,
0.00,0.00,0.28,51.56,0.00,48.16,
0.00,0.00,0.26,57.47,0.00,42.27,
0.25,0.00,0.25,35.09,0.00,64.41,
0.75,0.00,0.25,62.56,0.00,36.43,
0.00,0.00,0.00,23.99,0.00,76.01,
0.25,0.00,0.25,24.81,0.00,74.69,
0.00,0.00,0.00,56.03,0.00,43.97,
9.25,0.00,1.00,45.25,0.00,44.50,
25.50,0.00,0.25,59.50,0.00,14.75,
26.32,0.00,0.25,61.65,0.00,11.78,
25.19,0.00,0.25,38.04,0.00,36.52,
2.25,0.00,3.50,59.25,0.00,35.00,
0.25,0.00,0.50,78.20,0.00,21.05,
0.25,0.00,0.25,60.75,0.00,38.75,
0.00,0.00,0.25,69.85,0.00,29.90,
1.49,0.00,1.24,57.71,0.00,39.55,
1.50,0.00,0.75,47.75,0.00,50.00,
4.51,0.00,4.51,32.58,0.00,58.40,
4.46,0.00,6.44,8.17,0.00,80.94,
0.50,0.00,1.25,0.00,0.00,98.25,
3.21,0.00,4.44,1.48,0.00,90.86,
1.25,0.00,2.99,0.50,0.00,95.26,
0.00,0.00,0.25,0.75,0.00,98.99,
0.50,0.00,0.25,0.00,0.00,99.25,
0.00,0.00,0.00,0.00,0.00,100.00,
0.25,0.00,0.00,0.50,0.00,99.25,
0.25,0.00,0.25,0.00,0.00,99.50,
0.00,0.00,0.00,0.75,0.00,99.25,
0.25,0.00,0.00,0.25,0.00,99.50,
