['Device', 'tps', 'kB_read/s', 'kB_wrtn/s', 'kb_read', 'kB_wrtn'],P.Read,Power const.,P.Write,P.Idle,%idle,Idle const,Total Power
sda,2,0,12,0,12,0.0,1.26,15.1,17818.2,98.99,0.6,17833.3
sda,0,0,0,0,0,0.0,1.26,0.0,17910.0,99.5,0.6,17910.0
sda,0,0,0,0,0,0.0,1.26,0.0,17910.0,99.5,0.6,17910.0
sda,0,0,0,0,0,0.0,1.26,0.0,17910.0,99.5,0.6,17910.0
sda,0,0,0,0,0,0.0,1.26,0.0,17910.0,99.5,0.6,17910.0
sda,2,0,12,0,12,0.0,1.26,15.1,17820.0,99,0.6,17835.1
sda,0,0,0,0,0,0.0,1.26,0.0,17955.0,99.75,0.6,17955.0
sda,0,0,0,0,0,0.0,1.26,0.0,17910.0,99.5,0.6,17910.0
sda,0,0,0,0,0,0.0,1.26,0.0,17865.0,99.25,0.6,17865.0
sda,0,0,0,0,0,0.0,1.26,0.0,18000.0,100,0.6,18000.0
sda,2,0,12,0,12,0.0,1.26,15.1,17820.0,99,0.6,17835.1
sda,0,0,0,0,0,0.0,1.26,0.0,18000.0,100,0.6,18000.0
sda,0,0,0,0,0,0.0,1.26,0.0,18000.0,100,0.6,18000.0
sda,0,0,0,0,0,0.0,1.26,0.0,17910.0,99.5,0.6,17910.0
sda,0,0,0,0,0,0.0,1.26,0.0,17955.0,99.75,0.6,17955.0
sda,2,0,12,0,12,0.0,1.26,15.1,17775.0,98.75,0.6,17790.1
sda,4,180,0,180,0,226.8,1.26,0.0,17775.0,98.75,0.6,18001.8
sda,0,0,0,0,0,0.0,1.26,0.0,18000.0,100,0.6,18000.0
